rank,account_address,account_label,raw_score,anchored_score,delta_vs_anchor_60,delta_vs_anchor_raw,final_score,decision_score_basis,decision,decision_zh,anchor_version,anchor_account,summary_source,deployable_event_equivalent,weighted_multi_market_risk_ratio,exclusive_concurrent_leg_ratio,nested_concurrent_leg_ratio,active_trading_days,trade_count,dual_side_buy_usdc_ratio,noncopyable_token_fast_buy_ratio,traded_markets,positions_value,report_en,report_zh
1,0x8c818a866e6a4e5821a4faac8418903e33e3dcd3,Mysterious-Guard,100.0,70.84,10.84,16.68,70.84,calibrated_anchor_score,selective_copying_only,只适合筛着跟,anchor_v2_20260411,0x39d0f1dca6fb7e5514858c1a337724a426764fe8,prefetched,55.5,0.000119,0.0,0.0,21.0,554.0,0.001447,0.021068,1887,21704.7037,accounts/0x8c818a866e6a4e5821a4faac8418903e33e3dcd3/report_en.md,accounts/0x8c818a866e6a4e5821a4faac8418903e33e3dcd3/report_zh.md
2,0x712433f69c169ebaaa67ce13f3f66f54575e70c1,False-Mall,94.17,67.05,7.05,10.85,67.05,calibrated_anchor_score,selective_copying_only,只适合筛着跟,anchor_v2_20260411,0x39d0f1dca6fb7e5514858c1a337724a426764fe8,prefetched,24.5,0.122149,0.0,0.221809,28.0,470.0,0.038078,0.0,403,52671.9924,accounts/0x712433f69c169ebaaa67ce13f3f66f54575e70c1/report_en.md,accounts/0x712433f69c169ebaaa67ce13f3f66f54575e70c1/report_zh.md
3,0x993f451b6d5c21996b1bf688493cea9c4c823ee3,Tame-Freelance,92.58,66.02,6.02,9.26,66.02,calibrated_anchor_score,selective_copying_only,只适合筛着跟,anchor_v2_20260411,0x39d0f1dca6fb7e5514858c1a337724a426764fe8,prefetched,26.5,0.077351,0.0,0.333326,26.0,228.0,0.0,0.0,442,62756.7609,accounts/0x993f451b6d5c21996b1bf688493cea9c4c823ee3/report_en.md,accounts/0x993f451b6d5c21996b1bf688493cea9c4c823ee3/report_zh.md
4,0x206b8801df5436eaa98362ec407873ece99b7d6a,Playful-Towtruck,90.81,64.87,4.87,7.49,64.87,calibrated_anchor_score,selective_copying_only,只适合筛着跟,anchor_v2_20260411,0x39d0f1dca6fb7e5514858c1a337724a426764fe8,prefetched,808.0,0.009187,0.0,0.271574,31.0,32428.0,0.128043,0.041039,2348,605.3755,accounts/0x206b8801df5436eaa98362ec407873ece99b7d6a/report_en.md,accounts/0x206b8801df5436eaa98362ec407873ece99b7d6a/report_zh.md
5,0x226bf1220731af372b1e7d572959414f31b4cad6,Shocking-Survey,89.11,63.76,3.76,5.79,63.76,calibrated_anchor_score,selective_copying_only,只适合筛着跟,anchor_v2_20260411,0x39d0f1dca6fb7e5514858c1a337724a426764fe8,prefetched,44.0,0.100067,0.140087,0.0,23.0,2972.0,0.027081,0.008043,999,1576.0427,accounts/0x226bf1220731af372b1e7d572959414f31b4cad6/report_en.md,accounts/0x226bf1220731af372b1e7d572959414f31b4cad6/report_zh.md
6,0xbb8e6477bcb4d0a79449507c607d36fd228fb243,Unwitting-Prisoner,87.14,62.48,2.48,3.82,62.48,calibrated_anchor_score,selective_copying_only,只适合筛着跟,anchor_v2_20260411,0x39d0f1dca6fb7e5514858c1a337724a426764fe8,prefetched,8.0,0.175656,0.0,0.478697,16.0,183.0,0.0,0.0,311,108775.4336,accounts/0xbb8e6477bcb4d0a79449507c607d36fd228fb243/report_en.md,accounts/0xbb8e6477bcb4d0a79449507c607d36fd228fb243/report_zh.md
7,0xd2678dc3b152a54900f28b0e849afe2049df9dc6,Untrue-Vegetation,86.12,61.82,1.82,2.8,61.82,calibrated_anchor_score,selective_copying_only,只适合筛着跟,anchor_v2_20260411,0x39d0f1dca6fb7e5514858c1a337724a426764fe8,prefetched,42.5,0.001897,0.0,0.0,22.0,1673.0,0.493616,0.000144,1332,1351.8767,accounts/0xd2678dc3b152a54900f28b0e849afe2049df9dc6/report_en.md,accounts/0xd2678dc3b152a54900f28b0e849afe2049df9dc6/report_zh.md
8,0xeafc14c8639ef6fbf882b74c3e6de2fe72d10d5c,Musty-Instructor,85.89,61.67,1.67,2.57,61.67,calibrated_anchor_score,selective_copying_only,只适合筛着跟,anchor_v2_20260411,0x39d0f1dca6fb7e5514858c1a337724a426764fe8,prefetched,23.5,0.082664,0.0,0.178691,29.0,515.0,0.007745,0.288747,859,0.0,accounts/0xeafc14c8639ef6fbf882b74c3e6de2fe72d10d5c/report_en.md,accounts/0xeafc14c8639ef6fbf882b74c3e6de2fe72d10d5c/report_zh.md
9,0x39d0f1dca6fb7e5514858c1a337724a426764fe8,Both-Moustache,83.32,60.0,0.0,0.0,60.0,calibrated_anchor_score,selective_copying_only,只适合筛着跟,anchor_v2_20260411,0x39d0f1dca6fb7e5514858c1a337724a426764fe8,prefetched,34.5,0.188787,0.0,0.539571,31.0,2091.0,0.006171,0.046261,1472,93605.6497,accounts/0x39d0f1dca6fb7e5514858c1a337724a426764fe8/report_en.md,accounts/0x39d0f1dca6fb7e5514858c1a337724a426764fe8/report_zh.md
10,0xbf2c878cd5d6043697b32067be141647deeb097c,Distant-Prairie,83.25,59.95,-0.05,-0.07,59.95,calibrated_anchor_score,selective_copying_only,只适合筛着跟,anchor_v2_20260411,0x39d0f1dca6fb7e5514858c1a337724a426764fe8,prefetched,35.0,0.0,0.0,0.0,14.0,485.0,0.0,0.002839,330,149.6141,accounts/0xbf2c878cd5d6043697b32067be141647deeb097c/report_en.md,accounts/0xbf2c878cd5d6043697b32067be141647deeb097c/report_zh.md
