rank,account_address,account_label,raw_score,anchored_score,delta_vs_anchor_60,delta_vs_anchor_raw,final_score,decision_score_basis,decision,decision_zh,anchor_version,anchor_account,summary_source,deployable_event_equivalent,weighted_multi_market_risk_ratio,exclusive_concurrent_leg_ratio,nested_concurrent_leg_ratio,active_trading_days,trade_count,dual_side_buy_usdc_ratio,noncopyable_token_fast_buy_ratio,traded_markets,positions_value,report_en,report_zh
1,0xbf2c878cd5d6043697b32067be141647deeb097c,Distant-Prairie,68.84,77.41,17.41,26.78,77.41,calibrated_anchor_score,relative_copyable,相对可跟,anchor_v1,0x39d0f1dca6fb7e5514858c1a337724a426764fe8,prefetched,36.0,0.0,0.0,0.0,14.0,490.0,0.0,0.002644,327,0.0,accounts/0xbf2c878cd5d6043697b32067be141647deeb097c/report_en.md,accounts/0xbf2c878cd5d6043697b32067be141647deeb097c/report_zh.md
2,0x0f37cb80dee49d55b5f6d9e595d52591d6371410,Superior-Olive,58.0,70.36,10.36,15.94,70.36,calibrated_anchor_score,selective_copying_only,只适合筛着跟,anchor_v1,0x39d0f1dca6fb7e5514858c1a337724a426764fe8,prefetched,10.0,0.008452,0.0,0.0,10.0,64.0,0.00134,0.095234,2873,15458.113,accounts/0x0f37cb80dee49d55b5f6d9e595d52591d6371410/report_en.md,accounts/0x0f37cb80dee49d55b5f6d9e595d52591d6371410/report_zh.md
3,0xd5b97d08ec6098407bfbf66c2786ccc9967fe44e,Trained-Sniffle,52.04,66.49,6.49,9.98,66.49,calibrated_anchor_score,selective_copying_only,只适合筛着跟,anchor_v1,0x39d0f1dca6fb7e5514858c1a337724a426764fe8,prefetched,33.5,0.100187,0.0,0.611151,25.0,136.0,0.0,0.0,2306,58544.2795,accounts/0xd5b97d08ec6098407bfbf66c2786ccc9967fe44e/report_en.md,accounts/0xd5b97d08ec6098407bfbf66c2786ccc9967fe44e/report_zh.md
4,0x9524e6caca4da8aa811b57564a0a5a6d9fc286cf,Perfumed-Salmon,51.86,66.37,6.37,9.8,66.37,calibrated_anchor_score,not_recommended,不值得跟,anchor_v1,0x39d0f1dca6fb7e5514858c1a337724a426764fe8,prefetched,26.5,0.014159,0.0,0.0,24.0,418.0,0.579707,0.052366,401,49111.4861,accounts/0x9524e6caca4da8aa811b57564a0a5a6d9fc286cf/report_en.md,accounts/0x9524e6caca4da8aa811b57564a0a5a6d9fc286cf/report_zh.md
5,0x71dd2d539a793687451d4af8c43169369b47d61c,Knotty-Mud,50.0,65.16,5.16,7.94,65.16,calibrated_anchor_score,selective_copying_only,只适合筛着跟,anchor_v1,0x39d0f1dca6fb7e5514858c1a337724a426764fe8,prefetched,5.5,0.005564,0.0,0.0,7.0,15.0,0.0,0.0,494,21546.9893,accounts/0x71dd2d539a793687451d4af8c43169369b47d61c/report_en.md,accounts/0x71dd2d539a793687451d4af8c43169369b47d61c/report_zh.md
6,0x6cff25615924313a189d3bcd5ca99db452cdc3da,Colossal-Latency,48.19,63.98,3.98,6.13,63.98,calibrated_anchor_score,selective_copying_only,只适合筛着跟,anchor_v1,0x39d0f1dca6fb7e5514858c1a337724a426764fe8,prefetched,336.5,0.035963,0.0,0.327515,20.0,5379.0,0.302021,0.285535,4174,2245.1715,accounts/0x6cff25615924313a189d3bcd5ca99db452cdc3da/report_en.md,accounts/0x6cff25615924313a189d3bcd5ca99db452cdc3da/report_zh.md
7,0x5095e97281f28d4d8549fd3834802c24cbb793ee,Insignificant-Affair,46.06,62.6,2.6,4.0,62.6,calibrated_anchor_score,not_recommended,不值得跟,anchor_v1,0x39d0f1dca6fb7e5514858c1a337724a426764fe8,prefetched,3.5,0.15,0.0,0.0,24.0,904.0,0.602434,0.002431,347,4364.4223,accounts/0x5095e97281f28d4d8549fd3834802c24cbb793ee/report_en.md,accounts/0x5095e97281f28d4d8549fd3834802c24cbb793ee/report_zh.md
8,0x9dfe2f73d3c988a9d69df8fa0beb85651340b3dd,Calm-Charger,40.47,58.97,-1.03,-1.59,58.97,calibrated_anchor_score,not_recommended,不值得跟,anchor_v1,0x39d0f1dca6fb7e5514858c1a337724a426764fe8,prefetched,22.0,0.11739,0.0,0.331928,30.0,936.0,0.390741,0.036075,1925,47985.9143,accounts/0x9dfe2f73d3c988a9d69df8fa0beb85651340b3dd/report_en.md,accounts/0x9dfe2f73d3c988a9d69df8fa0beb85651340b3dd/report_zh.md
9,0xda0f4e3f79a50b8601b3cb9d421f48ce11bbf0e7,Aware-Veteran,39.42,58.28,-1.72,-2.64,58.28,calibrated_anchor_score,not_recommended,不值得跟,anchor_v1,0x39d0f1dca6fb7e5514858c1a337724a426764fe8,prefetched,17.5,0.184164,0.0,0.580785,25.0,893.0,0.18292,0.12758,1354,1380.9462,accounts/0xda0f4e3f79a50b8601b3cb9d421f48ce11bbf0e7/report_en.md,accounts/0xda0f4e3f79a50b8601b3cb9d421f48ce11bbf0e7/report_zh.md
10,0x1aeebd7b0eb92037a630004f8eabc0759c36c139,KBO30,37.86,57.27,-2.73,-4.2,57.27,calibrated_anchor_score,not_recommended,不值得跟,anchor_v1,0x39d0f1dca6fb7e5514858c1a337724a426764fe8,prefetched,13.0,0.137852,0.0,0.0,31.0,3593.0,0.586213,0.0,534,34936.1836,accounts/0x1aeebd7b0eb92037a630004f8eabc0759c36c139/report_en.md,accounts/0x1aeebd7b0eb92037a630004f8eabc0759c36c139/report_zh.md
11,0xd66f79a8d19d4223b6c70dd4e620d4875501a19b,Harmonious-Witchhunt,36.82,56.59,-3.41,-5.24,56.59,calibrated_anchor_score,not_recommended,不值得跟,anchor_v1,0x39d0f1dca6fb7e5514858c1a337724a426764fe8,prefetched,10.0,0.149019,0.0,0.0,18.0,3671.0,0.938076,0.0,1181,0.0,accounts/0xd66f79a8d19d4223b6c70dd4e620d4875501a19b/report_en.md,accounts/0xd66f79a8d19d4223b6c70dd4e620d4875501a19b/report_zh.md
12,0x48e7ca9d4754021dc8b32adcaec0234dd6c9d5f8,Corrupt-Apartment,36.55,56.42,-3.58,-5.51,56.42,calibrated_anchor_score,not_recommended,不值得跟,anchor_v1,0x39d0f1dca6fb7e5514858c1a337724a426764fe8,prefetched,0.5,0.15,0.0,0.0,30.0,674.0,0.389672,0.0,362,6580.3705,accounts/0x48e7ca9d4754021dc8b32adcaec0234dd6c9d5f8/report_en.md,accounts/0x48e7ca9d4754021dc8b32adcaec0234dd6c9d5f8/report_zh.md
13,0x41583f2efc720b8e2682750fffb67f2806fece9f,Pale-Semicolon,35.88,55.98,-4.02,-6.18,55.98,calibrated_anchor_score,not_recommended,不值得跟,anchor_v1,0x39d0f1dca6fb7e5514858c1a337724a426764fe8,prefetched,33.5,0.198477,0.0,0.555582,31.0,651.0,0.228416,0.072868,1377,1903.9969,accounts/0x41583f2efc720b8e2682750fffb67f2806fece9f/report_en.md,accounts/0x41583f2efc720b8e2682750fffb67f2806fece9f/report_zh.md
14,0x52f518bd4e1fc7fdf25a366343d06127d27119da,Unhealthy-Standing,33.69,54.56,-5.44,-8.37,54.56,calibrated_anchor_score,not_recommended,不值得跟,anchor_v1,0x39d0f1dca6fb7e5514858c1a337724a426764fe8,prefetched,16.0,0.151736,0.0,0.962936,19.0,276.0,0.034424,0.014915,294,87219.4026,accounts/0x52f518bd4e1fc7fdf25a366343d06127d27119da/report_en.md,accounts/0x52f518bd4e1fc7fdf25a366343d06127d27119da/report_zh.md
15,0x6a8328b1ae11569f7b27600073558879885e4c59,Dead-Brook,30.67,52.6,-7.4,-11.39,52.6,calibrated_anchor_score,not_recommended,不值得跟,anchor_v1,0x39d0f1dca6fb7e5514858c1a337724a426764fe8,prefetched,7.0,0.214159,0.0,0.440942,17.0,350.0,0.0,0.313479,1002,7653.1462,accounts/0x6a8328b1ae11569f7b27600073558879885e4c59/report_en.md,accounts/0x6a8328b1ae11569f7b27600073558879885e4c59/report_zh.md
16,0xdd9ed02bb67b2ec504be24b98febd651fdac49b3,Dry-Legislature,24.59,48.64,-11.36,-17.47,48.64,calibrated_anchor_score,not_recommended,不值得跟,anchor_v1,0x39d0f1dca6fb7e5514858c1a337724a426764fe8,prefetched,9.0,0.155007,0.0,0.636809,24.0,6914.0,0.367082,0.008225,924,14230.0984,accounts/0xdd9ed02bb67b2ec504be24b98febd651fdac49b3/report_en.md,accounts/0xdd9ed02bb67b2ec504be24b98febd651fdac49b3/report_zh.md
17,0x33c9101c64b9ba0ffcc200408afa2e91891f5124,Long-Guitar,23.93,48.22,-11.78,-18.13,48.22,calibrated_anchor_score,not_recommended,不值得跟,anchor_v1,0x39d0f1dca6fb7e5514858c1a337724a426764fe8,prefetched,261.5,0.049889,0.469585,0.0,29.0,869.0,0.156597,0.018127,1056,200.0979,accounts/0x33c9101c64b9ba0ffcc200408afa2e91891f5124/report_en.md,accounts/0x33c9101c64b9ba0ffcc200408afa2e91891f5124/report_zh.md
18,0x9238743eeba8bbfe9e85ac7ba2e1e3d77877b73e,High-Alarm,23.14,47.7,-12.3,-18.92,47.7,calibrated_anchor_score,not_recommended,不值得跟,anchor_v1,0x39d0f1dca6fb7e5514858c1a337724a426764fe8,prefetched,98.0,0.140372,0.139076,0.440287,31.0,2920.0,0.311742,0.136894,1461,16542.6337,accounts/0x9238743eeba8bbfe9e85ac7ba2e1e3d77877b73e/report_en.md,accounts/0x9238743eeba8bbfe9e85ac7ba2e1e3d77877b73e/report_zh.md
19,0x161a7f666ca49d592848cf415b42f49a84714103,Imaginary-Gallery,17.29,43.9,-16.1,-24.77,43.9,calibrated_anchor_score,not_recommended,不值得跟,anchor_v1,0x39d0f1dca6fb7e5514858c1a337724a426764fe8,prefetched,723.5,0.44426,0.573948,0.0,31.0,13890.0,0.095699,0.018701,9021,37097.2761,accounts/0x161a7f666ca49d592848cf415b42f49a84714103/report_en.md,accounts/0x161a7f666ca49d592848cf415b42f49a84714103/report_zh.md
20,0x5e3040eb55cb0f4f86eb0af40cb84c9d3585acbf,Gargantuan-Heater,13.29,41.3,-18.7,-28.77,41.3,calibrated_anchor_score,not_recommended,不值得跟,anchor_v1,0x39d0f1dca6fb7e5514858c1a337724a426764fe8,prefetched,1319.0,0.495404,0.697307,0.615535,31.0,13787.0,0.266241,0.0,12272,32297.3246,accounts/0x5e3040eb55cb0f4f86eb0af40cb84c9d3585acbf/report_en.md,accounts/0x5e3040eb55cb0f4f86eb0af40cb84c9d3585acbf/report_zh.md
